Intervention,BaseWeightedScore,MeanRank_Weights_p5,Rank_P2_5,Rank_P97_5,P_Top1,P_Top3
Spermidine,3.7000000000000006,1.0,1.0,1.0,1.0,1.0
SGLT2 inhibitors,3.6000000000000005,2.4965,2.0,3.0,0.0,1.0
Rapamycin,3.6000000000000005,2.5035,2.0,3.0,0.0,1.0
Metformin,3.500000000000001,4.0,4.0,4.0,0.0,0.0
Glutathione Precursors,3.4000000000000004,5.9923,5.0,7.0,0.0,0.0
Gut Microbiome Modulation,3.4000000000000004,6.0035,5.0,7.0,0.0,0.0
Acarbose,3.400000000000001,6.0042,5.0,7.0,0.0,0.0
L-deprenyl,3.3000000000000007,8.4941,8.0,9.0,0.0,0.0
Stem cell therapy,3.3000000000000007,8.5059,8.0,9.0,0.0,0.0
Mitochondria (Urolithin A),3.250000000000001,10.0,10.0,10.0,0.0,0.0
Anti-inflammatory,3.2,11.0,11.0,11.0,0.0,0.0
17Î±-estradiol,3.000000000000001,12.4994,12.0,13.0,0.0,0.0
Plasma dilution/apheresis,3.0000000000000004,12.5006,12.0,13.0,0.0,0.0
Alpha-ketoglutarate,2.9000000000000004,14.0095,14.0,14.0,0.0,0.0
Fisetin,2.9000000000000004,14.9905,15.0,15.0,0.0,0.0
NAD+ Restoration (NMN/NR),2.8000000000000007,16.0,16.0,16.0,0.0,0.0
GLP-1 agonists,2.7000000000000006,17.4919,17.0,18.0,0.0,0.0
Chloroquine,2.7,17.5085,17.0,18.0,0.0,0.0
Senolytics (D+Q),2.6500000000000004,18.9996,19.0,19.0,0.0,0.0
Exosome therapy,2.4500000000000006,20.0,20.0,20.0,0.0,0.0
Elamipretide,2.400000000000001,21.4917,21.0,22.0,0.0,0.0
Young blood plasma,2.4000000000000004,21.5083,21.0,22.0,0.0,0.0
Telomere extension,2.3500000000000005,23.0,23.0,23.0,0.0,0.0
Gene therapy,2.3000000000000003,24.0,24.0,24.0,0.0,0.0
Epigenetic reprogramming,2.1500000000000004,25.0882,25.0,26.0,0.0,0.0
Proteostasis & Nucleolus,2.1400000000000006,25.9118,25.0,26.0,0.0,0.0
Chemical reprogramming,2.0900000000000003,27.0,27.0,27.0,0.0,0.0
Synthetic organs,2.0000000000000004,28.0,28.0,28.0,0.0,0.0
Xenotransplantation,1.8000000000000003,29.0,29.0,29.0,0.0,0.0
Immunotherapy senolytics,1.7500000000000004,30.0,30.0,30.0,0.0,0.0
